model_type,model,eval_method,n_candidates,k,hit_rate,mrr,precision,recall,ndcg
CF,CBF+ItemKNN,cbf_reranking,500,10,0.2092092092092092,0.1060679727346394,0.0233233233233233,0.1298298298298298,0.0911524270395446
CF,CBF+ItemKNN,cbf_reranking,1000,10,0.2162162162162162,0.1094598566820788,0.0241241241241241,0.1342509175842509,0.0941663204471616
CF,CBF+EASE,cbf_reranking,250,10,0.2072072072072072,0.1153176986510319,0.0235235235235235,0.1280113446780113,0.0939160888682213
CF,CBF+EASE,cbf_reranking,500,10,0.2212212212212212,0.1163238635460857,0.0244244244244244,0.1365365365365365,0.0971686352057778
CF,CBF+EASE,cbf_reranking,1000,10,0.2372372372372372,0.1223898501676279,0.0269269269269269,0.1468468468468468,0.1041961807684347
CF,CBF+LightGCN,cbf_reranking,250,10,0.2042042042042042,0.0935971685971686,0.0234234234234234,0.128028028028028,0.0832607971495062
CF,CBF+LightGCN,cbf_reranking,500,10,0.2102102102102102,0.0951868535201868,0.0236236236236236,0.1290123456790123,0.084220380244193
CF,CBF+LightGCN,cbf_reranking,1000,10,0.2212212212212212,0.0985751624640513,0.0253253253253253,0.1336503169836503,0.087993586865119
CF,CBF+NeuMF,cbf_reranking,250,10,0.1791791791791791,0.0889174889174889,0.0207207207207207,0.1124457791124457,0.0763128577612867
CF,CBF+NeuMF,cbf_reranking,500,10,0.1821821821821821,0.0899431177208955,0.0205205205205205,0.1141141141141141,0.0777862801280036
CF,CBF+NeuMF,cbf_reranking,1000,10,0.1911911911911911,0.0961775267330823,0.0219219219219219,0.1165665665665665,0.0820911694256858
LLM,infobip-gpt-4-1,standalone,6924,10,0.3653653653653653,0.2397127286016175,0.0448448448448448,0.2474474474474474,0.2074157150543479
LLM,infobip-gpt-4-1-mini,standalone,6924,10,0.2982982982982983,0.1847673069895292,0.0341341341341341,0.188355021688355,0.1538181803377226
LLM,gpt-5.2,standalone,6924,10,0.4364364364364364,0.288783624894736,0.0539539539539539,0.2890724057390724,0.2462080312318732
LLM,gemini-3-pro,standalone,6924,10,0.4444444444444444,0.3365520282186949,0.058058058058058,0.3075241908575242,0.2817003391290144
LLM,claude-sonnet-4-6,standalone,6924,10,0.3993993993993994,0.2723537029092585,0.0501501501501501,0.2669836503169837,0.2285641378445731
LLM,infobip-gpt-4-1,zero_shot,0,10,0.3453453453453453,0.2277245499467721,0.0421421421421421,0.2319319319319319,0.198315600152004
LLM,infobip-gpt-4-1-mini,zero_shot,0,10,0.3553553553553553,0.2293277404388515,0.0433433433433433,0.2318651985318651,0.1936500470934246
LLM,gpt-5.2,zero_shot,0,10,0.3643643643643643,0.2680680680680681,0.0467467467467467,0.2481981981981982,0.2239045333068602
LLM,gemini-3-pro,zero_shot,0,10,0.4564564564564564,0.328578975801198,0.0596596596596596,0.3084084084084084,0.276898388001891
LLM,claude-sonnet-4-6,zero_shot,0,10,0.3813813813813814,0.266577688799911,0.048048048048048,0.253003003003003,0.2207454088631165
LLM,CBF+infobip-gpt-4-1,cbf_reranking,250,10,0.2692692692692692,0.1789980456647123,0.0333333333333333,0.1786453119786453,0.1517011903753355
LLM,CBF+infobip-gpt-4-1-mini,cbf_reranking,250,10,0.2202202202202202,0.1411574272685383,0.0263263263263263,0.1436269602936269,0.1190262329017347
LLM,CBF+gpt-5.2,cbf_reranking,250,10,0.2972972972972973,0.1881520409298187,0.0348348348348348,0.1925425425425425,0.1606009518858357
LLM,CBF+gemini-3-pro,cbf_reranking,250,10,0.2252252252252252,0.191257130146019,0.0259259259259259,0.1425759092425759,0.1438583674940136
LLM,CBF+claude-sonnet-4-6,cbf_reranking,250,10,0.2522522522522522,0.1613355418910974,0.0296296296296296,0.1651818485151818,0.1369923558729539
LLM,CBF+infobip-gpt-4-1,cbf_reranking,500,10,0.3103103103103103,0.211331569664903,0.0376376376376376,0.2054888221554888,0.1787160311738784
LLM,CBF+infobip-gpt-4-1-mini,cbf_reranking,500,10,0.2442442442442442,0.1495924495924495,0.0284284284284284,0.1577077077077077,0.1287865193722157
LLM,CBF+gpt-5.2,cbf_reranking,500,10,0.3303303303303303,0.207193701638146,0.0403403403403403,0.2122455789122455,0.1751798766420758
LLM,CBF+gemini-3-pro,cbf_reranking,500,10,0.3493493493493493,0.2680553569442458,0.0423423423423423,0.2268935602268935,0.2121056272544387
LLM,CBF+claude-sonnet-4-6,cbf_reranking,500,10,0.2932932932932933,0.190670432337099,0.0344344344344344,0.1938438438438438,0.1611739313487674
LLM,CBF+infobip-gpt-4-1,cbf_reranking,1000,10,0.3423423423423423,0.2242083353194464,0.0406406406406406,0.2245245245245245,0.1913154012092062
LLM,CBF+infobip-gpt-4-1-mini,cbf_reranking,1000,10,0.2642642642642642,0.1689554633999078,0.0309309309309309,0.1710543877210543,0.1429145013355539
LLM,CBF+gpt-5.2,cbf_reranking,1000,10,0.3493493493493493,0.2347732653288209,0.043043043043043,0.2302469135802469,0.1968598261732765
LLM,CBF+gemini-3-pro,cbf_reranking,1000,10,0.3983983983983984,0.3017108378219489,0.0496496496496496,0.263013013013013,0.2437161915227056
LLM,CBF+claude-sonnet-4-6,cbf_reranking,1000,10,0.3203203203203203,0.2087091059313281,0.0378378378378378,0.2083917250583917,0.1767745675063443
Sequential,SASRec,standalone,6924,10,0.2222222222222222,0.09363132974244086,0.026126126126126126,0.13893893893893894,0.08806308039850033
Sequential,GRU4Rec,standalone,6924,10,0.17317317317317318,0.0792820598376154,0.01941941941941942,0.1042876209542876,0.06776292341086332
Sequential,NARM,standalone,6924,10,0.16816816816816818,0.07485541096652207,0.01891891891891892,0.10108441775108441,0.0673786334538235
Sequential,SRGNN,standalone,6924,10,0.17017017017017017,0.07377854044520711,0.01881881881881882,0.10353687020353687,0.0660898969721458
Sequential,CBF+SASRec,cbf_reranking,250,10,0.18018018018018017,0.07596207318429542,0.020420420420420422,0.11338004671338003,0.07046219444307132
Sequential,CBF+SASRec,cbf_reranking,500,10,0.19119119119119118,0.08021116354449688,0.021721721721721723,0.1216383049716383,0.07553504322016867
Sequential,CBF+SASRec,cbf_reranking,1000,10,0.2092092092092092,0.08323799990466657,0.023623623623623625,0.12922922922922922,0.07909701092877036
Sequential,CBF+GRU4Rec,cbf_reranking,250,10,0.17917917917917917,0.08087412809635032,0.01961961961961962,0.10885885885885886,0.07031825565648178
Sequential,CBF+GRU4Rec,cbf_reranking,500,10,0.17417417417417416,0.07754222476444698,0.019219219219219222,0.10682349015682349,0.06785768173547384
Sequential,CBF+GRU4Rec,cbf_reranking,1000,10,0.1841841841841842,0.07990013823347157,0.02052052052052052,0.11202869536202868,0.07057519854795809
Sequential,CBF+NARM,cbf_reranking,250,10,0.16116116116116116,0.08006856062411617,0.01771771771771772,0.09753086419753085,0.06860066700121693
Sequential,CBF+NARM,cbf_reranking,500,10,0.16916916916916916,0.08009755787533565,0.018518518518518517,0.10231898565231899,0.06981500953114964
Sequential,CBF+NARM,cbf_reranking,1000,10,0.17217217217217218,0.08112000889778667,0.018918918918918916,0.10231898565231899,0.07085693363243054
Sequential,CBF+SRGNN,cbf_reranking,250,10,0.15915915915915915,0.06936658881103325,0.017417417417417418,0.09402736069402735,0.06149081453767105
Sequential,CBF+SRGNN,cbf_reranking,500,10,0.15615615615615616,0.0678698539809651,0.01711711711711712,0.09632966299632967,0.061396753551536364
Sequential,CBF+SRGNN,cbf_reranking,1000,10,0.16416416416416416,0.07075090963979852,0.017817817817817824,0.096996996996997,0.06337722412984265
LLM,infobip-gpt-4-1,standalone,6924,10,0.36536536536536535,0.2397127286016175,0.04484484484484484,0.24744744744744743,0.2074157150543479
LLM,infobip-gpt-4-1-mini,standalone,6924,10,0.2982982982982983,0.1847673069895292,0.03413413413413414,0.18835502168835505,0.15381818033772268
LLM,gpt-5.2,standalone,6924,10,0.4364364364364364,0.288783624894736,0.053953953953953956,0.2890724057390724,0.24620803123187326
LLM,gemini-3-pro,standalone,6924,10,0.4444444444444444,0.3365520282186949,0.05805805805805806,0.30752419085752425,0.2817003391290144
LLM,claude-sonnet-4-6,standalone,6924,10,0.3993993993993994,0.2723537029092585,0.05015015015015015,0.2669836503169837,0.22856413784457316
LLM,infobip-gpt-4-1,zero_shot,0,10,0.34534534534534533,0.22772454994677216,0.042142142142142146,0.23193193193193193,0.19831560015200403
LLM,infobip-gpt-4-1-mini,zero_shot,0,10,0.35535535535535534,0.22932774043885157,0.043343343343343346,0.23186519853186519,0.1936500470934246
LLM,gpt-5.2,zero_shot,0,10,0.36436436436436437,0.2680680680680681,0.046746746746746747,0.2481981981981982,0.22390453330686028
LLM,gemini-3-pro,zero_shot,0,10,0.45645645645645644,0.328578975801198,0.059659659659659664,0.3084084084084084,0.27689838800189104
LLM,claude-sonnet-4-6,zero_shot,0,10,0.3813813813813814,0.26657768879991106,0.04804804804804805,0.253003003003003,0.22074540886311653
