model_type,model,eval_method,n_candidates,k,hit_rate,mrr,precision,recall,ndcg
CF,CBF+BPR,cbf_reranking,250,5,0.1431431431431431,0.0916916916916916,0.0316316316316316,0.0824157490824157,0.0696201030143503
CF,CBF+BPR,cbf_reranking,250,10,0.1891891891891892,0.097756089422756,0.0215215215215215,0.1181181181181181,0.0826252186562429
CF,CBF+BPR,cbf_reranking,500,1,0.059059059059059,0.059059059059059,0.059059059059059,0.0301801801801801,0.059059059059059
CF,CBF+BPR,cbf_reranking,500,5,0.1421421421421421,0.089356022689356,0.0312312312312312,0.0871705038371705,0.069768121601623
CF,CBF+BPR,cbf_reranking,500,10,0.1941941941941942,0.0964365158809603,0.022022022022022,0.1216216216216216,0.0828827126643533
CF,CBF+BPR,cbf_reranking,1000,1,0.064064064064064,0.064064064064064,0.064064064064064,0.0331831831831831,0.064064064064064
CF,CBF+BPR,cbf_reranking,1000,5,0.1511511511511511,0.0956623289956623,0.034034034034034,0.09004004004004,0.0742191018750179
CF,CBF+BPR,cbf_reranking,1000,10,0.2032032032032032,0.1024306052083829,0.0234234234234234,0.1245745745745745,0.0872386187301595
CF,CBF+ItemKNN,cbf_reranking,250,1,0.066066066066066,0.066066066066066,0.066066066066066,0.0355689022355689,0.066066066066066
CF,CBF+ItemKNN,cbf_reranking,250,5,0.1621621621621621,0.0996663329996663,0.0352352352352352,0.0964631297964631,0.0780955927710966
CF,CBF+ItemKNN,cbf_reranking,250,10,0.1981981981981982,0.1043186043186043,0.0222222222222222,0.1218051384718051,0.0875709820513781
CF,CBF+ItemKNN,cbf_reranking,500,1,0.066066066066066,0.066066066066066,0.066066066066066,0.0369035702369035,0.066066066066066
CF,CBF+ItemKNN,cbf_reranking,500,5,0.1671671671671671,0.1004838171504838,0.036036036036036,0.1007173840507173,0.0801920137184787
CF,CBF+ItemKNN,cbf_reranking,500,10,0.2092092092092092,0.1060679727346394,0.0233233233233233,0.1298298298298298,0.0911524270395446
CF,CBF+ItemKNN,cbf_reranking,1000,1,0.067067067067067,0.067067067067067,0.067067067067067,0.037404070737404,0.067067067067067
CF,CBF+ItemKNN,cbf_reranking,1000,5,0.1661661661661661,0.1025859192525859,0.0362362362362362,0.1008842175508842,0.0815061668698111
CF,CBF+ItemKNN,cbf_reranking,1000,10,0.2162162162162162,0.1094598566820788,0.0241241241241241,0.1342509175842509,0.0941663204471616
CF,CBF+EASE,cbf_reranking,250,1,0.076076076076076,0.076076076076076,0.076076076076076,0.0392726059392726,0.076076076076076
CF,CBF+EASE,cbf_reranking,250,5,0.1651651651651651,0.1097597597597597,0.036036036036036,0.0966299632966299,0.0822547676434115
CF,CBF+EASE,cbf_reranking,250,10,0.2072072072072072,0.1153176986510319,0.0235235235235235,0.1280113446780113,0.0939160888682213
CF,CBF+EASE,cbf_reranking,500,1,0.071071071071071,0.071071071071071,0.071071071071071,0.0383216549883216,0.071071071071071
CF,CBF+EASE,cbf_reranking,500,5,0.1771771771771771,0.110694027360694,0.038038038038038,0.1043543543543543,0.0854767688143008
CF,CBF+EASE,cbf_reranking,500,10,0.2212212212212212,0.1163238635460857,0.0244244244244244,0.1365365365365365,0.0971686352057778
CF,CBF+EASE,cbf_reranking,1000,1,0.073073073073073,0.073073073073073,0.073073073073073,0.0392392392392392,0.073073073073073
CF,CBF+EASE,cbf_reranking,1000,5,0.1871871871871872,0.1158158158158158,0.0414414414414414,0.1119452786119452,0.0912533443317653
CF,CBF+EASE,cbf_reranking,1000,10,0.2372372372372372,0.1223898501676279,0.0269269269269269,0.1468468468468468,0.1041961807684347
CF,CBF+LightGCN,cbf_reranking,250,1,0.054054054054054,0.054054054054054,0.054054054054054,0.0274774774774774,0.054054054054054
CF,CBF+LightGCN,cbf_reranking,250,5,0.1491491491491491,0.0862028695362028,0.0332332332332332,0.0887053720387053,0.0686404958911295
CF,CBF+LightGCN,cbf_reranking,250,10,0.2042042042042042,0.0935971685971686,0.0234234234234234,0.128028028028028,0.0832607971495062
CF,CBF+LightGCN,cbf_reranking,500,1,0.052052052052052,0.052052052052052,0.052052052052052,0.0271438104771438,0.052052052052052
CF,CBF+LightGCN,cbf_reranking,500,5,0.1501501501501501,0.0868868868868868,0.033033033033033,0.0867534200867534,0.0684229130189633
CF,CBF+LightGCN,cbf_reranking,500,10,0.2102102102102102,0.0951868535201868,0.0236236236236236,0.1290123456790123,0.084220380244193
CF,CBF+LightGCN,cbf_reranking,1000,1,0.054054054054054,0.054054054054054,0.054054054054054,0.028395061728395,0.054054054054054
CF,CBF+LightGCN,cbf_reranking,1000,5,0.1611611611611611,0.0901401401401401,0.0356356356356356,0.0912579245912579,0.0717674326267831
CF,CBF+LightGCN,cbf_reranking,1000,10,0.2212212212212212,0.0985751624640513,0.0253253253253253,0.1336503169836503,0.087993586865119
CF,CBF+NeuMF,cbf_reranking,250,1,0.056056056056056,0.056056056056056,0.056056056056056,0.0283116449783116,0.056056056056056
CF,CBF+NeuMF,cbf_reranking,250,5,0.1311311311311311,0.0825492158825492,0.0282282282282282,0.0754587921254587,0.0623983869212472
CF,CBF+NeuMF,cbf_reranking,250,10,0.1791791791791791,0.0889174889174889,0.0207207207207207,0.1124457791124457,0.0763128577612867
CF,CBF+NeuMF,cbf_reranking,500,1,0.055055055055055,0.055055055055055,0.055055055055055,0.0289789789789789,0.055055055055055
CF,CBF+NeuMF,cbf_reranking,500,5,0.1341341341341341,0.0835001668335001,0.029029029029029,0.0814314314314314,0.0654121546205061
CF,CBF+NeuMF,cbf_reranking,500,10,0.1821821821821821,0.0899431177208955,0.0205205205205205,0.1141141141141141,0.0777862801280036
CF,CBF+NeuMF,cbf_reranking,1000,1,0.059059059059059,0.059059059059059,0.059059059059059,0.030397063730397,0.059059059059059
CF,CBF+NeuMF,cbf_reranking,1000,5,0.1441441441441441,0.0897397397397397,0.0318318318318318,0.085352018685352,0.0699417515115854
CF,CBF+NeuMF,cbf_reranking,1000,10,0.1911911911911911,0.0961775267330823,0.0219219219219219,0.1165665665665665,0.0820911694256858
LLM,infobip-gpt-4-1,standalone,6924,1,0.1841841841841842,0.1841841841841842,0.1841841841841842,0.1208375041708375,0.1841841841841842
