model_type,model,eval_method,n_candidates,k,hit_rate,mrr,precision,recall,ndcg
CF,CBF+LightGCN,cbf_reranking,250,10,0.2042042042042042,0.0935971685971686,0.023423423423423424,0.128028028028028,0.0832607971495062
CF,CBF+LightGCN,cbf_reranking,500,10,0.21021021021021022,0.09518685352018685,0.023623623623623625,0.12901234567901235,0.08422038024419304
CF,CBF+LightGCN,cbf_reranking,1000,10,0.22122122122122123,0.09857516246405135,0.025325325325325325,0.1336503169836503,0.08799358686511907
CF,CBF+NeuMF,cbf_reranking,250,10,0.17917917917917917,0.08891748891748891,0.020720720720720724,0.11244577911244577,0.07631285776128675
CF,CBF+NeuMF,cbf_reranking,500,10,0.18218218218218218,0.0899431177208955,0.02052052052052052,0.11411411411411411,0.07778628012800366
CF,CBF+NeuMF,cbf_reranking,1000,10,0.19119119119119118,0.0961775267330823,0.021921921921921925,0.11656656656656655,0.08209116942568587
LLM,infobip-gpt-4-1,standalone,6924,10,0.36536536536536535,0.2397127286016175,0.04484484484484484,0.24744744744744743,0.2074157150543479
LLM,infobip-gpt-4-1-mini,standalone,6924,10,0.2982982982982983,0.1847673069895292,0.03413413413413414,0.18835502168835505,0.15381818033772268
LLM,gpt-5.2,standalone,6924,10,0.4364364364364364,0.288783624894736,0.053953953953953956,0.2890724057390724,0.24620803123187326
LLM,gemini-3-pro,standalone,6924,10,0.4444444444444444,0.3365520282186949,0.05805805805805806,0.30752419085752425,0.2817003391290144
LLM,claude-sonnet-4-6,standalone,6924,10,0.3993993993993994,0.2723537029092585,0.05015015015015015,0.2669836503169837,0.22856413784457316
LLM,infobip-gpt-4-1,zero_shot,0,10,0.34534534534534533,0.22772454994677216,0.042142142142142146,0.23193193193193193,0.19831560015200403
LLM,infobip-gpt-4-1-mini,zero_shot,0,10,0.35535535535535534,0.22932774043885157,0.043343343343343346,0.23186519853186519,0.1936500470934246
LLM,gpt-5.2,zero_shot,0,10,0.36436436436436437,0.2680680680680681,0.046746746746746747,0.2481981981981982,0.22390453330686028
LLM,gemini-3-pro,zero_shot,0,10,0.45645645645645644,0.328578975801198,0.059659659659659664,0.3084084084084084,0.27689838800189104
LLM,claude-sonnet-4-6,zero_shot,0,10,0.3813813813813814,0.26657768879991106,0.04804804804804805,0.253003003003003,0.22074540886311653
LLM,CBF+infobip-gpt-4-1,cbf_reranking,250,10,0.26926926926926925,0.17899804566471236,0.03333333333333334,0.1786453119786453,0.15170119037533553
LLM,CBF+infobip-gpt-4-1-mini,cbf_reranking,250,10,0.22022022022022023,0.14115742726853836,0.026326326326326324,0.14362696029362695,0.11902623290173474
LLM,CBF+gpt-5.2,cbf_reranking,250,10,0.2972972972972973,0.18815204092981871,0.034834834834834835,0.19254254254254258,0.16060095188583573
LLM,CBF+gemini-3-pro,cbf_reranking,250,10,0.22522522522522523,0.19125713014601903,0.02592592592592593,0.1425759092425759,0.14385836749401368
LLM,CBF+claude-sonnet-4-6,cbf_reranking,250,10,0.25225225225225223,0.16133554189109744,0.02962962962962963,0.16518184851518183,0.13699235587295394
LLM,CBF+infobip-gpt-4-1,cbf_reranking,500,10,0.3103103103103103,0.21133156966490302,0.03763763763763764,0.20548882215548886,0.1787160311738784
LLM,CBF+infobip-gpt-4-1-mini,cbf_reranking,500,10,0.24424424424424424,0.14959244959244958,0.028428428428428427,0.15770770770770773,0.12878651937221577
LLM,CBF+gpt-5.2,cbf_reranking,500,10,0.3303303303303303,0.20719370163814607,0.04034034034034034,0.21224557891224555,0.17517987664207585
LLM,CBF+gemini-3-pro,cbf_reranking,500,10,0.34934934934934936,0.26805535694424587,0.04234234234234235,0.22689356022689355,0.21210562725443877
LLM,CBF+claude-sonnet-4-6,cbf_reranking,500,10,0.2932932932932933,0.19067043233709902,0.03443443443443443,0.19384384384384384,0.1611739313487674
LLM,CBF+infobip-gpt-4-1,cbf_reranking,1000,10,0.34234234234234234,0.22420833531944642,0.04064064064064064,0.22452452452452454,0.1913154012092062
LLM,CBF+infobip-gpt-4-1-mini,cbf_reranking,1000,10,0.26426426426426425,0.16895546339990783,0.03093093093093093,0.17105438772105439,0.14291450133555392
LLM,CBF+gpt-5.2,cbf_reranking,1000,10,0.34934934934934936,0.2347732653288209,0.043043043043043044,0.2302469135802469,0.1968598261732765
LLM,CBF+gemini-3-pro,cbf_reranking,1000,10,0.3983983983983984,0.30171083782194896,0.049649649649649644,0.263013013013013,0.24371619152270563
LLM,CBF+claude-sonnet-4-6,cbf_reranking,1000,10,0.3203203203203203,0.20870910593132816,0.03783783783783783,0.20839172505839174,0.17677456750634435
