model_type,model,average_popularity,f1,genre_coverage,genre_entropy,gini_index,hit_rate,item_coverage,mrr,ndcg,precision,recall,shannon_entropy,tail_percentage
cf,BPR,96.05195195195195,0.04321396821396822,1.0,2.567509919819794,0.9593588389082324,0.22822822822822822,0.14630271519352975,0.11644620811287479,0.09910781308309931,0.02662662662662663,0.14159159159159157,5.837841803755401,0.0
cf,EASE,89.45215215215215,0.05257286090619425,1.0,2.5753320093522283,0.9453238044514765,0.27627627627627627,0.1841421143847487,0.13426680648902872,0.11708436825474035,0.03233233233233233,0.172655989322656,6.108888984717237,0.0
cf,ItemKNN,40.63753753753754,0.04160290826957493,1.0,2.6127907293461736,0.80683227999808,0.22522522522522523,0.41796649335644137,0.10686400686400688,0.09436568279556945,0.025525525525525526,0.14010677344010675,7.314874219468998,0.0
cf,LightGCN,90.37707707707708,0.04826139826139827,1.0,2.5785611743837333,0.9541389743296157,0.25425425425425424,0.14601386481802425,0.10732121009898787,0.09857764762925315,0.02972972972972973,0.1568068068068068,5.980499302850755,0.0
cf,Pop,255.98018018018018,0.014191789191789192,0.6842105263157895,2.380564655181618,0.9985343228844096,0.08508508508508508,0.002021952628538417,0.03302866358421914,0.027260333591175932,0.00880880880880881,0.043309976643309975,2.3654047850730078,0.0
cf,Random,6.755855855855856,0.0007888341221674555,1.0,2.6281635883475114,0.5115565016200486,0.005005005005005005,0.6826978625072213,0.001078459411792745,0.0010808842299422868,0.0005005005005005005,0.002335669002335669,8.324644275694718,0.038138138138138135
sequential,GRU4Rec,68.38518518518518,0.03173343173343173,1.0,2.5747601995455542,0.8975502076310854,0.17317317317317318,0.2833622183708839,0.0792820598376154,0.06776292341086332,0.01941941941941942,0.1042876209542876,6.702956770847818,0.0
sequential,NARM,76.92372372372373,0.030909589242922576,1.0,2.5856969798246436,0.9098349360336652,0.16816816816816818,0.26357596764875796,0.07485541096652207,0.0673786334538235,0.01891891891891892,0.10108441775108441,6.548613798106899,0.0
sequential,SASRec,101.27387387387387,0.042530242530242526,1.0,2.5732804979992223,0.9680634996637311,0.2222222222222222,0.10918544194107452,0.09363132974244086,0.08806308039850033,0.026126126126126126,0.13893893893893894,5.640966663250012,0.0
sequential,SRGNN,93.8945945945946,0.030821514154847487,1.0,2.5724441230036654,0.9494739684803236,0.17017017017017017,0.170421721548238,0.07377854044520711,0.0660898969721458,0.01881881881881882,0.10353687020353687,6.016736638539982,0.0
