model_type,model,eval_method,retriever_type,retriever_model,reranker_type,reranker_model,n_candidates,average_popularity,genre_coverage,genre_entropy,gini_index,item_coverage,shannon_entropy,tail_percentage
api,infobip-gpt-4-1-mini,reranking,cbf,CBF,llm,infobip-gpt-4-1-mini,500.0,34.546256878828785,1.0,2.5529096690747717,0.8504179587854813,0.35239745811669554,7.107345591196879,0.021493095213373482
api,infobip-gpt-4-1-mini,reranking,cbf,CBF,llm,infobip-gpt-4-1-mini,1000.0,34.044326793314646,1.0,2.5641958307264514,0.852869624880725,0.3450317735413056,7.100655235260765,0.01962005605730302
api,infobip-gpt-4-1-mini,reranking,cf,EASE,llm,infobip-gpt-4-1-mini,250.0,61.278776252019384,1.0,2.567530426284116,0.9177148283836792,0.23512420566146736,6.527941137359755,0.0013126009693053312
api,infobip-gpt-4-1-mini,reranking,sequential,SASRec,llm,infobip-gpt-4-1-mini,250.0,69.33559356340452,1.0,2.55950379423179,0.9426112535825657,0.18067590987868284,6.205305642985083,0.000708430320817731
cf,BPR,standalone,cf,BPR,none,none,6924.0,96.05195195195195,1.0,2.567509919819794,0.9593588389082324,0.14630271519352975,5.837841803755401,0.0
cf,CBF+BPR,cbf_reranking,cbf,CBF,cf,BPR,250.0,63.596296296296295,1.0,2.568723117195626,0.9341763774172787,0.20956094742923165,6.296107312962383,0.0
cf,CBF+BPR,cbf_reranking,cbf,CBF,cf,BPR,500.0,71.20480480480481,1.0,2.5712233065759746,0.9437151189317572,0.18471981513575966,6.153241270888383,0.0
cf,CBF+BPR,cbf_reranking,cbf,CBF,cf,BPR,1000.0,77.82052052052052,1.0,2.5703420418896963,0.9488980025664022,0.17345465049104564,6.066545038747797,0.0
cf,CBF+EASE,cbf_reranking,cbf,CBF,cf,EASE,250.0,59.98498498498498,1.0,2.567666469551958,0.9190703123689834,0.23757943385326402,6.513314124274159,0.0
cf,CBF+EASE,cbf_reranking,cbf,CBF,cf,EASE,500.0,67.53473473473474,1.0,2.5713103731493523,0.9292018188032052,0.21649335644136336,6.38573143141576,0.0004004004004004004
cf,CBF+EASE,cbf_reranking,cbf,CBF,cf,EASE,1000.0,73.67317317317317,1.0,2.5734315057969104,0.9350435935646797,0.20363951473136915,6.30586963480552,0.0003003003003003003
cf,CBF+ItemKNN,cbf_reranking,cbf,CBF,cf,ItemKNN,250.0,43.791791791791795,1.0,2.5756662134563757,0.8612317979446809,0.33174465626805316,7.032406486809476,0.0016016016016016017
cf,CBF+ItemKNN,cbf_reranking,cbf,CBF,cf,ItemKNN,500.0,44.186686686686684,1.0,2.5826304019379327,0.8518819801893168,0.34517619872905836,7.0872246098582,0.0016016016016016017
cf,CBF+ItemKNN,cbf_reranking,cbf,CBF,cf,ItemKNN,1000.0,43.8004004004004,1.0,2.5843503519106683,0.837399907128388,0.3692952050837666,7.169420759790212,0.001001001001001001
cf,CBF+LightGCN,cbf_reranking,cbf,CBF,cf,LightGCN,250.0,59.955155155155154,1.0,2.5721069328776345,0.9269981709034282,0.213893703061814,6.431782636789088,0.0
cf,CBF+LightGCN,cbf_reranking,cbf,CBF,cf,LightGCN,500.0,66.9054054054054,1.0,2.5788250792536314,0.9356428352095594,0.19381860196418255,6.310506218908726,0.0
cf,CBF+LightGCN,cbf_reranking,cbf,CBF,cf,LightGCN,1000.0,73.58138138138138,1.0,2.5789691093707314,0.9424767633028754,0.17547660311958405,6.211047759146285,0.0
cf,CBF+Pop,cbf_reranking,cbf,CBF,cf,Pop,250.0,107.68378378378378,0.9473684210526315,2.5314874425338636,0.9877272998012454,0.047660311958405546,4.723945830906066,0.0
cf,CBF+Pop,cbf_reranking,cbf,CBF,cf,Pop,500.0,131.106006006006,0.8947368421052632,2.525072832744561,0.9927884846140191,0.027585210860774118,4.209978180048102,0.0
cf,CBF+Pop,cbf_reranking,cbf,CBF,cf,Pop,1000.0,156.2972972972973,0.8421052631578947,2.492072646930393,0.99517411692455,0.01487579433853264,3.7992432928487156,0.0
cf,CBF+Random,cbf_reranking,cbf,CBF,cf,Random,250.0,12.61961961961962,1.0,2.5579784401245527,0.7515043350687486,0.45190641247833624,7.689632523098855,0.025725725725725727
cf,CBF+Random,cbf_reranking,cbf,CBF,cf,Random,500.0,11.497997997997999,1.0,2.5624477408592594,0.7260613299608101,0.47429231658001153,7.791186122337137,0.027527527527527528
cf,CBF+Random,cbf_reranking,cbf,CBF,cf,Random,1000.0,9.943643643643643,1.0,2.5637711679734076,0.6876772497511955,0.5101097631426921,7.917793662813164,0.026426426426426425
cf,EASE,standalone,cf,EASE,none,none,6924.0,89.45215215215215,1.0,2.5753320093522283,0.9453238044514765,0.1841421143847487,6.108888984717237,0.0
cf,ItemKNN,standalone,cf,ItemKNN,none,none,6924.0,40.63753753753754,1.0,2.6127907293461736,0.80683227999808,0.41796649335644137,7.314874219468998,0.0
cf,LightGCN,standalone,cf,LightGCN,none,none,6924.0,90.37707707707708,1.0,2.5785611743837333,0.9541389743296157,0.14601386481802425,5.980499302850755,0.0
cf,Pop,standalone,cf,Pop,none,none,6924.0,255.98018018018018,0.6842105263157895,2.380564655181618,0.9985343228844096,0.002021952628538417,2.3654047850730078,0.0
cf,Random,standalone,cf,Random,none,none,6924.0,6.755855855855856,1.0,2.6281635883475114,0.5115565016200486,0.6826978625072213,8.324644275694718,0.038138138138138135
local_hf,Gemma-2-9B,reranking,cbf,CBF,llm,Gemma-2-9B,0.0,47.250287613447526,1.0,2.535628537592939,0.92744869093512,0.2001733102253033,6.395333948232691,0.007925348331842004
local_hf,Gemma-2-9B,reranking,cbf,CBF,llm,Gemma-2-9B,250.0,31.9448223733938,1.0,2.5723387964569335,0.8179531346893615,0.3889370306181398,7.329054220054633,0.025699168556311415
local_hf,Gemma-2-9B,reranking,cbf,CBF,llm,Gemma-2-9B,500.0,33.62944878472222,1.0,2.5681886776918144,0.8274021531889882,0.3828711727325246,7.2514344548436735,0.026150173611111112
local_hf,Llama-3.1-8B,reranking,cbf,CBF,llm,Llama-3.1-8B,0.0,41.58973008558262,1.0,2.5467616419813384,0.9356307301810421,0.1812536106296938,6.282773792275745,0.010664911125740618
local_hf,Llama-3.1-8B,reranking,cbf,CBF,llm,Llama-3.1-8B,250.0,32.046352323324584,1.0,2.56620688969436,0.8622485618324806,0.3274119006354708,7.033834238004168,0.027628724740267153
local_hf,Llama-3.1-8B,reranking,cbf,CBF,llm,Llama-3.1-8B,500.0,35.441894003124624,1.0,2.557786677394466,0.8837608082839553,0.2907279029462738,6.820411552011423,0.024516284100468695
local_hf,Llama-3.2-3B,reranking,cbf,CBF,llm,Llama-3.2-3B,0.0,41.76353675627468,1.0,2.5614184504504394,0.9208345542036617,0.20667244367417678,6.508066166809804,0.009045738310612816
local_hf,Llama-3.2-3B,reranking,cbf,CBF,llm,Llama-3.2-3B,250.0,28.874908200734396,1.0,2.570903656222477,0.8036121146039497,0.3934142114384749,7.398258097576591,0.03463892288861689
local_hf,Llama-3.2-3B,reranking,cbf,CBF,llm,Llama-3.2-3B,500.0,29.331178068020172,1.0,2.569957199020374,0.7974946142646591,0.3974581166955517,7.406236459734457,0.03491529807319281
local_hf,Llama-3.3-70B,reranking,cbf,CBF,llm,Llama-3.3-70B,0.0,47.44825845532559,1.0,2.5637045769478024,0.9190034968246873,0.2205372616984402,6.5108739795626125,0.010979303382130236
local_hf,Llama-3.3-70B,reranking,cbf,CBF,llm,Llama-3.3-70B,250.0,38.06914614981666,1.0,2.562991254846957,0.8597417474887873,0.3391103408434431,7.056654954750065,0.016029334730225248
local_hf,Llama-3.3-70B,reranking,cbf,CBF,llm,Llama-3.3-70B,500.0,41.58478843063739,1.0,2.5644246397263606,0.8781749328620139,0.30921432697862505,6.912322654767714,0.012961971076593465
local_hf,Qwen2.5-7B,reranking,cbf,CBF,llm,Qwen2.5-7B,0.0,58.15647734524569,1.0,2.5562090984789614,0.9245642082863743,0.2136048526863085,6.420824688565396,0.0068921506062539885
local_hf,Qwen2.5-7B,reranking,cbf,CBF,llm,Qwen2.5-7B,250.0,36.99691323999559,1.0,2.557165854878162,0.8372677454787163,0.36395147313691506,7.203334659033343,0.02645794289493992
local_hf,Qwen2.5-7B,reranking,cbf,CBF,llm,Qwen2.5-7B,500.0,36.942928889396185,1.0,2.56234644797196,0.8355066678245738,0.36857307914500287,7.194733761763635,0.023399155347563063
local_hf_ft,Qwen2.5-7B-FT,reranking,cbf,CBF,llm,Qwen2.5-7B-FT,250.0,22.247995835502344,1.0,2.5743564310553624,0.8635638181899652,0.32481224725592145,7.011345449531807,0.041644976574700676
sequential,CBF+GRU4Rec,cbf_reranking,cbf,CBF,sequential,GRU4Rec,250.0,57.82242242242242,1.0,2.563298532008942,0.9178298460216425,0.23006932409012132,6.544283992905315,0.0
sequential,CBF+GRU4Rec,cbf_reranking,cbf,CBF,sequential,GRU4Rec,500.0,60.21661661661662,1.0,2.5608152373627355,0.9160366605773884,0.23613518197573657,6.561457224407654,0.0
sequential,CBF+GRU4Rec,cbf_reranking,cbf,CBF,sequential,GRU4Rec,1000.0,62.987987987987985,1.0,2.562439434797553,0.9139886853924983,0.2388792605430387,6.584817460034111,0.0
sequential,CBF+NARM,cbf_reranking,cbf,CBF,sequential,NARM,250.0,58.81841841841842,1.0,2.570531585556437,0.9159378905190576,0.24090121317157712,6.548174517610092,0.0002002002002002002
sequential,CBF+NARM,cbf_reranking,cbf,CBF,sequential,NARM,500.0,63.2016016016016,1.0,2.5737123253728114,0.9178015392631225,0.23873483535528597,6.520994460953659,0.0001001001001001001
sequential,CBF+NARM,cbf_reranking,cbf,CBF,sequential,NARM,1000.0,67.2896896896897,1.0,2.574784932248239,0.9153176862593384,0.24783362218370883,6.5423064980488475,0.0
sequential,CBF+SASRec,cbf_reranking,cbf,CBF,sequential,SASRec,250.0,67.96156156156157,1.0,2.56865204807706,0.9495964190649344,0.15915655690352398,6.091746021272007,0.0
sequential,CBF+SASRec,cbf_reranking,cbf,CBF,sequential,SASRec,500.0,75.42412412412412,1.0,2.575882458679042,0.9560160391471774,0.14139225880993644,5.965666825069103,0.0
sequential,CBF+SASRec,cbf_reranking,cbf,CBF,sequential,SASRec,1000.0,83.17407407407407,1.0,2.57701565213195,0.9609686809860121,0.12796071634893125,5.856654356147658,0.0
sequential,CBF+SRGNN,cbf_reranking,cbf,CBF,sequential,SRGNN,250.0,64.44154154154154,1.0,2.564537301806602,0.9378843892997558,0.18630849220103987,6.283803556951597,0.0003003003003003003
sequential,CBF+SRGNN,cbf_reranking,cbf,CBF,sequential,SRGNN,500.0,70.91611611611611,1.0,2.5660600403624354,0.9416921254009639,0.18082033506643558,6.214857289339798,0.0001001001001001001
sequential,CBF+SRGNN,cbf_reranking,cbf,CBF,sequential,SRGNN,1000.0,77.77027027027027,1.0,2.5683499583490756,0.9451018320457953,0.17518775274407858,6.150332605947621,0.0
sequential,GRU4Rec,standalone,sequential,GRU4Rec,none,none,6924.0,68.38518518518518,1.0,2.5747601995455542,0.8975502076310854,0.2833622183708839,6.702956770847818,0.0
sequential,NARM,standalone,sequential,NARM,none,none,6924.0,76.92372372372373,1.0,2.5856969798246436,0.9098349360336652,0.26357596764875796,6.548613798106899,0.0
sequential,SASRec,standalone,sequential,SASRec,none,none,6924.0,101.27387387387387,1.0,2.5732804979992223,0.9680634996637311,0.10918544194107452,5.640966663250012,0.0
sequential,SRGNN,standalone,sequential,SRGNN,none,none,6924.0,93.8945945945946,1.0,2.5724441230036654,0.9494739684803236,0.170421721548238,6.016736638539982,0.0
