model_type,model,eval_method,retriever_type,retriever_model,reranker_type,reranker_model,n_candidates,average_popularity,f1,genre_coverage,genre_entropy,gini_index,hit_rate,item_coverage,mrr,ndcg,precision,recall,shannon_entropy,tail_percentage,lower,upper,std
api,claude-sonnet-4-6,reranking,cbf,CBF,llm,claude-sonnet-4-6,250.0,37.08425275827482,0.0486029486029486,1.0,2.5703876309449667,0.8772468474168899,0.25225225225225223,0.30488157134604277,0.16133554189109744,0.13699235587295394,0.02962962962962963,0.16518184851518183,6.921643818343092,0.017552657973921765,0.12035845945991404,0.15440268581535585,0.008931560113665794
api,gemini-3-pro,reranking,cbf,CBF,llm,gemini-3-pro,250.0,38.51422550052687,0.04244694244694245,1.0,2.5404490182583395,0.8916524219906145,0.22522522522522523,0.20782784517619873,0.19125713014601903,0.14385836749401368,0.02592592592592593,0.1425759092425759,6.787359276369154,0.015806111696522657,0.12770946884889567,0.16189563968152992,0.008945500940537343
api,gpt-5.2,reranking,cbf,CBF,llm,gpt-5.2,250.0,35.94805457301668,0.05703908203908205,1.0,2.557233846185764,0.8664229902129497,0.2972972972972973,0.3269786250722126,0.18815204092981871,0.16060095188583573,0.034834834834834835,0.19254254254254258,7.001421826665033,0.018089944416371906,0.14209302248552874,0.1788170451007169,0.009352665614185534
api,infobip-gpt-4-1,reranking,cbf,CBF,llm,infobip-gpt-4-1,250.0,33.85091463414634,0.05415083748417082,1.0,2.558669126524419,0.849942171215473,0.26926926926926925,0.34994222992489893,0.17899804566471236,0.15170119037533553,0.03333333333333334,0.1786453119786453,7.114394519792773,0.018902439024390243,0.1353960572181545,0.17001859013723403,0.009176714627328627
api,infobip-gpt-4-1-mini,reranking,cbf,CBF,llm,infobip-gpt-4-1-mini,250.0,32.94929172654486,0.04335160168493502,1.0,2.562467468375163,0.8428912208817649,0.2222222222222222,0.3619295205083767,0.14313241813241812,0.11941179842806075,0.026626626626626626,0.14346012679346012,7.169517282551508,0.02217203859577089,0.10295998395265543,0.13601207285123212,0.008281017469556956
cf,CBF+BPR,cbf_reranking,cbf,CBF,cf,BPR,250.0,63.596296296296295,0.03519178519178519,1.0,2.568723117195626,0.9341763774172787,0.1891891891891892,0.20956094742923165,0.09775608942275608,0.08262521865624298,0.021521521521521522,0.11811811811811812,6.296107312962383,0.0,0.07047324600348608,0.09432731673832605,0.006130494662703474
cf,CBF+EASE,cbf_reranking,cbf,CBF,cf,EASE,250.0,59.98498498498498,0.038429030095696766,1.0,2.567666469551958,0.9190703123689834,0.2072072072072072,0.23757943385326402,0.11531769865103199,0.09391608886822132,0.023523523523523524,0.12801134467801134,6.513314124274159,0.0,0.08098470935910222,0.10598176054699313,0.006527590808858746
cf,CBF+ItemKNN,cbf_reranking,cbf,CBF,cf,ItemKNN,250.0,43.791791791791795,0.03634939468272801,1.0,2.5756662134563757,0.8612317979446809,0.1981981981981982,0.33174465626805316,0.10431860431860433,0.08757098205137819,0.022222222222222227,0.12180513847180513,7.032406486809476,0.0016016016016016017,0.07558206634328166,0.10010994764115838,0.006334822062571698
cf,CBF+LightGCN,cbf_reranking,cbf,CBF,cf,LightGCN,250.0,59.955155155155154,0.03835043001709668,1.0,2.5721069328776345,0.9269981709034282,0.2042042042042042,0.213893703061814,0.0935971685971686,0.0832607971495062,0.023423423423423424,0.128028028028028,6.431782636789088,0.0,0.07230927110540965,0.09401026741385607,0.00583279569677936
cf,CBF+Pop,cbf_reranking,cbf,CBF,cf,Pop,250.0,107.68378378378378,0.0187344520677854,0.9473684210526315,2.5314874425338636,0.9877272998012454,0.1061061061061061,0.047660311958405546,0.04329130718019607,0.03882983356024256,0.011411411411411412,0.06338004671338004,4.723945830906066,0.0,0.030103113415063856,0.04664089281073223,0.004071411980128828
cf,CBF+Random,cbf_reranking,cbf,CBF,cf,Random,250.0,12.61961961961962,0.004419596086262753,1.0,2.5579784401245527,0.7515043350687486,0.02702702702702703,0.45190641247833624,0.006525573192239859,0.007206879656113555,0.002702702702702703,0.014631297964631296,7.689632523098855,0.025725725725725727,0.004212440801220589,0.01035009700416016,0.0015930307653957126
local_hf,Gemma-2-9B,reranking,cbf,CBF,llm,Gemma-2-9B,250.0,31.9448223733938,0.028773787107120443,1.0,2.5723387964569335,0.8179531346893615,0.15315315315315314,0.3889370306181398,0.08355021688355022,0.07150725804321763,0.01761761761761762,0.0957957957957958,7.329054220054633,0.025699168556311415,0.05917662911957126,0.08357340728411239,0.006311709952875303
local_hf,Llama-3.1-8B,reranking,cbf,CBF,llm,Llama-3.1-8B,250.0,32.046352323324584,0.019130710797377465,1.0,2.56620688969436,0.8622485618324806,0.10810810810810811,0.3274119006354708,0.05144906811573478,0.04493364805520974,0.011611611611611613,0.06675008341675008,7.033834238004168,0.027628724740267153,0.03580717007343063,0.05513620414778718,0.004891337558433608
