model_type,model,retriever_type,retriever_model,reranker_type,reranker_model,n_candidates,average_popularity,f1,genre_coverage,genre_entropy,gini_index,hit_rate,item_coverage,mrr,ndcg,precision,recall,shannon_entropy,tail_percentage
api,claude-sonnet-4-6,cbf,CBF,llm,claude-sonnet-4-6,250.0,37.08425275827482,0.0486029486029486,1.0,2.5703876309449667,0.8772468474168899,0.25225225225225223,0.30488157134604277,0.16133554189109744,0.13699235587295394,0.02962962962962963,0.16518184851518183,6.921643818343092,0.017552657973921765
api,gemini-3-pro,cbf,CBF,llm,gemini-3-pro,250.0,38.51422550052687,0.04244694244694245,1.0,2.5404490182583395,0.8916524219906145,0.22522522522522523,0.20782784517619873,0.19125713014601903,0.14385836749401368,0.02592592592592593,0.1425759092425759,6.787359276369154,0.015806111696522657
api,gpt-5.2,cbf,CBF,llm,gpt-5.2,250.0,35.94805457301668,0.05703908203908205,1.0,2.557233846185764,0.8664229902129497,0.2972972972972973,0.3269786250722126,0.18815204092981871,0.16060095188583573,0.034834834834834835,0.19254254254254258,7.001421826665033,0.018089944416371906
api,infobip-gpt-4-1,cbf,CBF,llm,infobip-gpt-4-1,250.0,33.85091463414634,0.05415083748417082,1.0,2.558669126524419,0.849942171215473,0.26926926926926925,0.34994222992489893,0.17899804566471236,0.15170119037533553,0.03333333333333334,0.1786453119786453,7.114394519792773,0.018902439024390243
api,infobip-gpt-4-1-mini,cbf,CBF,llm,infobip-gpt-4-1-mini,250.0,32.94929172654486,0.04335160168493502,1.0,2.562467468375163,0.8428912208817649,0.2222222222222222,0.3619295205083767,0.14313241813241812,0.11941179842806075,0.026626626626626626,0.14346012679346012,7.169517282551508,0.02217203859577089
api,infobip-gpt-4-1-mini,cf,EASE,llm,infobip-gpt-4-1-mini,250.0,61.278776252019384,0.06939203605870273,1.0,2.567530426284116,0.9177148283836792,0.3433433433433433,0.23512420566146736,0.22061982617538173,0.18772462889076932,0.042642642642642635,0.23001334668001336,6.527941137359755,0.0013126009693053312
api,infobip-gpt-4-1-mini,sequential,SASRec,llm,infobip-gpt-4-1-mini,250.0,69.33559356340452,0.06484984818318151,1.0,2.55950379423179,0.9426112535825657,0.3203203203203203,0.18067590987868284,0.21136215580660028,0.17906737863282454,0.03983983983983984,0.2142642642642643,6.205305642985083,0.000708430320817731
local_hf,Gemma-2-9B,cbf,CBF,llm,Gemma-2-9B,250.0,31.9448223733938,0.028773787107120443,1.0,2.5723387964569335,0.8179531346893615,0.15315315315315314,0.3889370306181398,0.08355021688355022,0.07150725804321763,0.01761761761761762,0.0957957957957958,7.329054220054633,0.025699168556311415
local_hf,Llama-3.1-8B,cbf,CBF,llm,Llama-3.1-8B,250.0,32.046352323324584,0.019130710797377465,1.0,2.56620688969436,0.8622485618324806,0.10810810810810811,0.3274119006354708,0.05144906811573478,0.04493364805520974,0.011611611611611613,0.06675008341675008,7.033834238004168,0.027628724740267153
local_hf,Llama-3.2-3B,cbf,CBF,llm,Llama-3.2-3B,250.0,28.874908200734396,0.01228464561797895,1.0,2.570903656222477,0.8036121146039497,0.06606606606606606,0.3934142114384749,0.026475682031237586,0.02552329914790748,0.0075075075075075074,0.04082415749082416,7.398258097576591,0.03463892288861689
local_hf,Llama-3.3-70B,cbf,CBF,llm,Llama-3.3-70B,250.0,38.06914614981666,0.02941626274959608,1.0,2.562991254846957,0.8597417474887873,0.16216216216216217,0.3391103408434431,0.07709018542351877,0.06798670646271468,0.01791791791791792,0.10028361695028362,7.056654954750065,0.016029334730225248
local_hf,Qwen2.5-7B,cbf,CBF,llm,Qwen2.5-7B,250.0,36.99691323999559,0.02406955740289074,1.0,2.557165854878162,0.8372677454787163,0.13213213213213212,0.36395147313691506,0.04716819994597773,0.04811109073210684,0.014714714714714718,0.08121454788121454,7.203334659033343,0.02645794289493992
local_hf_ft,Qwen2.5-7B-FT,cbf,CBF,llm,Qwen2.5-7B-FT,250.0,22.247995835502344,0.036885695219028555,1.0,2.5743564310553624,0.8635638181899652,0.1981981981981982,0.32481224725592145,0.13664736164736166,0.1075542392120803,0.022822822822822823,0.12008675342008675,7.011345449531807,0.041644976574700676
