model_type,model,eval_method,n_candidates,n_prompts,item_coverage@1,unique_items@1,avg_popularity@1,catalog_match_rate@1,item_coverage@5,unique_items@5,avg_popularity@5,catalog_match_rate@5,item_coverage@10,unique_items@10,avg_popularity@10,catalog_match_rate@10,hit_rate@1,hit_rate@5,hit_rate@10,mrr@1,mrr@5,mrr@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10,f1@1,f1@5,f1@10,ndcg@1,ndcg@5,ndcg@10
CF,BPR,candidate_reranking,c1000,999,0.03682842287694974,255.0,144.6216216216216,1.0,0.11149624494511842,772.0,95.72192192192192,1.0,0.17345465049104564,1201.0,77.82052052052052,1.0,0.06406406406406406,0.15115115115115116,0.2032032032032032,0.06406406406406406,0.09566232899566232,0.10243060520838299,0.06406406406406406,0.03403403403403404,0.023423423423423424,0.033183183183183175,0.09004004004004003,0.12457457457457456,0.04150817484150818,0.04708041374708042,0.03820712987379655,0.06406406406406406,0.07421910187501794,0.08723861873015953
CF,BPR,candidate_reranking,c250,999,0.04000577700751011,277.0,126.21621621621621,1.0,0.12593876372039284,872.0,80.8974974974975,1.0,0.20956094742923165,1451.0,63.59629629629631,1.0,0.06306306306306306,0.14314314314314314,0.1891891891891892,0.06306306306306306,0.09169169169169168,0.09775608942275608,0.06306306306306306,0.031631631631631636,0.021521521521521522,0.03288288288288288,0.08241574908241575,0.11811811811811812,0.04080747414080747,0.04357134912690469,0.03519178519178519,0.06306306306306306,0.06962010301435032,0.08262521865624298
CF,BPR,candidate_reranking,c500,999,0.037694974003466206,261.0,135.01001001001,1.0,0.11712882726747545,811.0,89.13953953953953,1.0,0.18471981513575966,1279.0,71.20480480480481,1.0,0.05905905905905906,0.14214214214214213,0.1941941941941942,0.05905905905905906,0.08935602268935601,0.09643651588096032,0.05905905905905906,0.031231231231231234,0.022022022022022022,0.030180180180180177,0.0871705038371705,0.12162162162162163,0.03780447113780447,0.043785849341404906,0.036104827771494444,0.05905905905905906,0.06976812160162309,0.08288271266435332
CF,EASE,candidate_reranking,c1000,999,0.04000577700751011,277.0,130.84084084084085,1.0,0.12622761409589833,874.0,89.78578578578579,0.9997997997997997,0.20262853841709993,1403.0,73.67485263040818,0.9992992992992993,0.07307307307307308,0.1871871871871872,0.23723723723723725,0.07307307307307308,0.1158158158158158,0.12238985016762793,0.07307307307307308,0.04144144144144145,0.026926926926926928,0.039239239239239235,0.11194527861194525,0.14684684684684685,0.04838171504838171,0.05769189102522436,0.04405559405559406,0.07307307307307308,0.09125334433176531,0.1041961807684347
CF,EASE,candidate_reranking,c250,999,0.04404968226458694,305.0,114.14829659318637,0.998998998998999,0.14182553437319467,982.0,76.59384384384384,0.9995995995995997,0.23700173310225303,1641.0,59.987748859971084,0.9995995995995997,0.07607607607607608,0.16516516516516516,0.2072072072072072,0.07607607607607608,0.10975975975975977,0.11531769865103199,0.07607607607607608,0.036036036036036036,0.023523523523523524,0.039272605939272606,0.09662996329662996,0.12801134467801134,0.049015682349015675,0.050019138908027796,0.038429030095696766,0.07607607607607608,0.08225476764341154,0.09391608886822132
CF,EASE,candidate_reranking,c500,999,0.041883304448295786,290.0,121.93093093093093,1.0,0.13417099942229924,929.0,83.15525525525526,0.9991991991991992,0.21577123050259966,1494.0,67.53766266266267,0.9994994994994995,0.07107107107107107,0.17717717717717718,0.22122122122122123,0.07107107107107107,0.11069402736069403,0.11632386354608577,0.07107107107107107,0.03803803803803804,0.024424424424424426,0.03832165498832165,0.10435435435435435,0.13653653653653655,0.04711378044711378,0.053175469842136516,0.04010159843493177,0.07107107107107107,0.08547676881430082,0.09716863520577786
CF,ItemKNN,candidate_reranking,c1000,999,0.07019064124783363,486.0,66.7755511022044,0.998998998998999,0.24494511842865396,1696.0,52.491541541541544,0.998998998998999,0.3653957250144425,2530.0,43.83039865262087,0.9972972972972972,0.06706706706706707,0.16616616616616617,0.21621621621621623,0.06706706706706707,0.10258591925258592,0.10945985668207889,0.06706706706706707,0.03623623623623624,0.024124124124124124,0.037404070737404066,0.10088421755088421,0.1342509175842509,0.045345345345345345,0.05068250068250069,0.03955375622042289,0.06706706706706707,0.08150616686981114,0.09416632044716162
CF,ItemKNN,candidate_reranking,c250,999,0.07004621606008088,485.0,65.20841683366733,0.998998998998999,0.2247255921432698,1556.0,51.71463129796464,0.9973973973973975,0.32582322357019067,2256.0,43.85504274115385,0.9955955955955956,0.06606606606606606,0.16216216216216217,0.1981981981981982,0.06606606606606606,0.09966633299966633,0.10431860431860433,0.06606606606606606,0.03523523523523524,0.022222222222222227,0.0355689022355689,0.09646312979646313,0.12180513847180513,0.04367701034367701,0.04908963797852687,0.03634939468272801,0.06606606606606606,0.0780955927710966,0.08757098205137819
CF,ItemKNN,candidate_reranking,c500,999,0.07047949162333911,488.0,65.32565130260521,0.998998998998999,0.22891392258809937,1585.0,52.38038038038037,0.9985985985985987,0.3409878682842288,2361.0,44.249302079857635,0.996896896896897,0.06606606606606606,0.16716716716716717,0.2092092092092092,0.06606606606606606,0.10048381715048381,0.1060679727346394,0.06606606606606606,0.036036036036036036,0.023323323323323326,0.03690357023690356,0.10071738405071738,0.12982982982982985,0.044678011344678005,0.05046800046800048,0.038277629944296614,0.06606606606606606,0.0801920137184787,0.0911524270395446
CF,LightGCN,candidate_reranking,c1000,999,0.03451761987290584,239.0,142.34834834834834,1.0,0.10701906412478336,741.0,93.92152152152151,1.0,0.17547660311958405,1215.0,73.58138138138139,1.0,0.05405405405405406,0.16116116116116116,0.22122122122122123,0.05405405405405406,0.09014014014014014,0.09857516246405135,0.05405405405405406,0.03563563563563564,0.025325325325325325,0.028395061728395062,0.09125792459125792,0.1336503169836503,0.03523523523523523,0.04899596566263233,0.041204524537857876,0.05405405405405406,0.07176743262678317,0.08799358686511907
CF,LightGCN,candidate_reranking,c250,999,0.040583477758521086,281.0,123.8038038038038,1.0,0.12868284228769497,891.0,78.5951951951952,1.0,0.213893703061814,1481.0,59.95515515515516,1.0,0.05405405405405406,0.14914914914914915,0.2042042042042042,0.05405405405405406,0.08620286953620288,0.0935971685971686,0.05405405405405406,0.03323323323323324,0.023423423423423424,0.027477477477477474,0.08870537203870536,0.128028028028028,0.03443443443443443,0.04606677384455163,0.03835043001709668,0.05405405405405406,0.06864049589112958,0.0832607971495062
CF,LightGCN,candidate_reranking,c500,999,0.036250722125938765,251.0,133.87387387387386,1.0,0.11785095320623917,816.0,86.36496496496497,1.0,0.19381860196418255,1342.0,66.9054054054054,1.0,0.05205205205205205,0.15015015015015015,0.21021021021021022,0.05205205205205205,0.08688688688688688,0.09518685352018685,0.05205205205205205,0.03303303303303303,0.023623623623623625,0.027143810477143808,0.08675342008675341,0.12901234567901235,0.033800467133800464,0.04567987901321235,0.038611030277696946,0.05205205205205205,0.06842291301896336,0.08422038024419304
CF,NeuMF,candidate_reranking,c1000,999,0.04607163489312536,319.0,129.05405405405406,1.0,0.12954939341421143,897.0,90.49849849849849,1.0,0.19858463316002312,1375.0,73.91451451451452,1.0,0.05905905905905906,0.14414414414414414,0.19119119119119118,0.05905905905905906,0.08973973973973974,0.0961775267330823,0.05905905905905906,0.03183183183183184,0.021921921921921925,0.030397063730397057,0.08535201868535201,0.11656656656656655,0.038071404738071406,0.044342755453866574,0.035745294078627414,0.05905905905905906,0.06994175151158542,0.08209116942568587
CF,NeuMF,candidate_reranking,c250,999,0.04968226458694396,344.0,114.57157157157157,1.0,0.14355863662622761,994.0,77.0028028028028,1.0,0.2136048526863085,1479.0,61.382582582582586,1.0,0.056056056056056056,0.13113113113113112,0.17917917917917917,0.056056056056056056,0.08254921588254922,0.08891748891748891,0.056056056056056056,0.028228228228228232,0.020720720720720724,0.028311644978311644,0.07545879212545879,0.11244577911244577,0.03563563563563564,0.03923208923208924,0.03387065887065887,0.056056056056056056,0.06239838692124724,0.07631285776128675
