Reranker model,NDCG@10,Hit@10,Cov.@10,Pop.@10
Claude Opus 4.6,0.1497∗,0.2713,0.2639,42.80
GPT-5.2,0.1335∗,0.2523,0.2858,36.64
Claude Sonnet 4.6,0.1325∗,0.2462,0.2754,37.79
GPT-4.1,0.1283∗,0.2322,0.3037,34.22
GPT-4.1-mini,0.1021,0.1912,0.3033,32.69
Qwen2.5-7B-FT,0.0792,0.1502,0.2711,23.22
Llama-3.3-70B,0.0770,0.1602,0.2607,33.69
Gemma-2-9B,0.0650,0.1281,0.3068,26.43
Llama-3.1-8B,0.0503,0.1011,0.2402,27.03
Qwen2.5-7B,0.0500,0.1071,0.2620,29.62
Llama-3.2-3B,0.0278,0.0571,0.2939,20.93
