model,model_display,temperature,n_prompts,n_trials,raw_ndcg@10_mean,raw_ndcg@10_mean_prompt_std,strict_ndcg@10_mean,strict_ndcg@10_mean_prompt_std,raw_ndcg@10_std,raw_ndcg@10_std_prompt_std,strict_ndcg@10_std,strict_ndcg@10_std_prompt_std,raw_ndcg@10_cv,raw_ndcg@10_cv_prompt_std,strict_ndcg@10_cv,strict_ndcg@10_cv_prompt_std,candidate_valid_rate@10_mean,candidate_valid_rate@10_mean_prompt_std,raw_jaccard_distance@10,raw_jaccard_distance@10_prompt_std,strict_jaccard_distance@10,strict_jaccard_distance@10_prompt_std,raw_list_position_distance@10,raw_list_position_distance@10_prompt_std,strict_list_position_distance@10,strict_list_position_distance@10_prompt_std,raw_exact_list_agreement@10,raw_exact_list_agreement@10_prompt_std,strict_exact_list_agreement@10,strict_exact_list_agreement@10_prompt_std,raw_item_coverage@10,raw_item_coverage@10_prompt_std,strict_item_coverage@10,strict_item_coverage@10_prompt_std,raw_avg_popularity@10,raw_avg_popularity@10_prompt_std,strict_avg_popularity@10,strict_avg_popularity@10_prompt_std,raw_catalog_match_rate@10,raw_catalog_match_rate@10_prompt_std,strict_catalog_match_rate@10,strict_catalog_match_rate@10_prompt_std,strict_ndcg@10_mean_ci_mean,strict_ndcg@10_mean_ci_low,strict_ndcg@10_mean_ci_high,strict_jaccard_distance@10_ci_mean,strict_jaccard_distance@10_ci_low,strict_jaccard_distance@10_ci_high
infobip-gpt-4-1,GPT-4.1,2.0,30,600,0.11693402895706205,0.23609084996524507,0.0847377165710619,0.22177400711254566,0.06007462838948758,0.0905747026262039,0.042155331847834064,0.0822284728640516,1.7677817076510345,1.669184339786246,1.793367486625441,1.6891218891394384,0.7958333333333332,0.10621289074740192,0.6835016260158226,0.0923205932571475,0.6556698704240257,0.09499938875892111,0.8612105263157896,0.05183022425512747,0.7984035087719299,0.08400411219156938,0.0,0.0,0.0008771929824561403,0.0019949948515234303,0.004761217022915462,0.0011809434816792393,0.004299056422106682,0.0009888086342062122,32.08965226337448,21.500717412507093,30.38237809415514,17.35192384071746,0.7851666666666667,0.09017686962903486,0.7454999999999999,0.10986159003727027,0.0847377165710619,0.020800439205304406,0.18168576517015328,0.6556698704240257,0.6200191507083246,0.6865332076401659
claude-sonnet-4-6,Claude Sonnet 4.6,0.0,30,600,0.12266264852688885,0.30406783192967024,0.1228031820167662,0.3040977465942941,0.00746281196207843,0.028256308673427905,0.007417066481590172,0.028257623128670705,0.12265745011568034,0.24194916105424857,0.12128674974505312,0.24253318379244856,0.9951666666666666,0.013613085320897111,0.16304052672473726,0.08312774398091372,0.1591007326007326,0.08216884330079811,0.4326315789473684,0.16247047976865095,0.4280350877192982,0.16172970929819522,0.1436842105263158,0.10562686711192026,0.1436842105263158,0.10562686711192026,0.0018149431927594844,0.0002954565715133132,0.0017860581552089356,0.0002825141547472796,38.72141071428572,17.98661591845365,38.35892460317461,17.74022431529069,0.964,0.05743662174293839,0.9591666666666666,0.05919114759846264,0.1228031820167662,0.02597740970968464,0.23787147081883828,0.1591007326007326,0.13106229077939607,0.18689585246624718
claude-sonnet-4-6,Claude Sonnet 4.6,0.5,30,600,0.12164020113223747,0.3035830405846306,0.12175603007416816,0.3036053546624286,0.010489265586130402,0.029172790173404285,0.010549022865823139,0.029243388724504108,0.18845282937057575,0.21076703733199958,0.18932938901169452,0.21105257302203725,0.9936666666666665,0.014076964145021876,0.19224652540442017,0.09069114088257745,0.18656815991026518,0.09023289605571808,0.5233684210526316,0.12563531167923822,0.5223333333333333,0.1262799921548651,0.061228070175438604,0.05127998347496915,0.061228070175438604,0.05127998347496915,0.0019208549971114967,0.00031766749426662106,0.0018823416137107645,0.0003021960621313514,38.86518121693122,18.817489657387146,38.055875661375666,17.954336728898795,0.9626666666666667,0.05876213496587004,0.9563333333333331,0.059072330493091754,0.12175603007416816,0.022371147151549056,0.24052515697283078,0.18656815991026518,0.15343122937004514,0.21929369044697986
claude-sonnet-4-6,Claude Sonnet 4.6,1.0,30,600,0.12343301204925823,0.30438498047359874,0.12359192023999177,0.30441336702772537,0.009687445721570953,0.025958697236090966,0.009769949153313227,0.02612844382366513,0.16322777929828033,0.16460031501902367,0.16399396637735808,0.1656348253852525,0.9926666666666668,0.02079179767539867,0.2163342505447768,0.08803557773210213,0.21226169541959014,0.08849126952864954,0.5564912280701755,0.11120956676327746,0.5575087719298246,0.11327984256080804,0.020526315789473684,0.020235975356628168,0.020526315789473684,0.020235975356628168,0.001968996726362411,0.0002640919571651792,0.0019401116888118624,0.00026734022086024337,39.151742724867724,19.58970069699023,38.129714947089944,18.022457978000777,0.9613333333333334,0.060199858708353704,0.9543333333333336,0.06162642365052529,0.12359192023999177,0.032065181034821214,0.23558108254138835,0.21226169541959014,0.18138982589048383,0.24430736142512455
infobip-gpt-4-1-mini,GPT-4.1-mini,0.0,30,600,0.04852408064494319,0.1935181196712516,0.035511412311873145,0.1825525727868235,0.004503781650705631,0.02466822804169326,0.004503781650705629,0.02466822804169326,0.6892590053101094,1.193831616771496,1.033888507965164,1.4621391499460188,0.9193333333333334,0.0982320733257985,0.2266625606663899,0.14247313106356777,0.22055146743958456,0.13803252412143407,0.37033333333333335,0.17616419429464705,0.3545789473684211,0.17566255729043145,0.2924561403508772,0.2503629358419325,0.3087719298245614,0.25223931029803826,0.0020171384556133256,0.0004819730916482638,0.0019160408241864048,0.0005101738941897753,32.27661044973545,18.246232173027426,29.51234391534392,16.774472491007543,0.905,0.10868334263132154,0.857,0.11725010109546408,0.035511412311873145,0.0,0.10653423693561943,0.22055146743958456,0.17087805131028813,0.2701716340629011
infobip-gpt-4-1-mini,GPT-4.1-mini,0.5,30,600,0.050892003121239884,0.19323397998668976,0.03530031607327289,0.18239550455908482,0.01111520384611619,0.035988809210265704,0.00582316910390271,0.022776820087113465,1.7933883608412127,1.8772872181148643,2.304995033345252,2.2392527363123995,0.9221666666666665,0.08377600814212792,0.4065377764476876,0.11064453774205048,0.3883982323945254,0.11630649765728118,0.6846666666666668,0.09870938416567915,0.6608070175438597,0.10143207396421264,0.013157894736842106,0.029148779590396464,0.014210526315789474,0.028865583195364693,0.002960716348931254,0.0006685971304848234,0.0027055651839014054,0.0005813414105109482,32.8890085978836,17.615332419626963,30.163787698412698,16.324481179351547,0.9151666666666666,0.09251731742213726,0.8641666666666665,0.09945613600228868,0.03530031607327289,0.0,0.10343224882043915,0.3883982323945254,0.34705662412713345,0.429803967147023
infobip-gpt-4-1-mini,GPT-4.1-mini,1.0,30,600,0.05032196929157429,0.1853264289614417,0.038132000369775085,0.18232648802500115,0.028788696763272108,0.05338438346677527,0.013846477979471717,0.040511789099729564,2.91436601543308,1.745465547412776,2.8482212181478026,1.8707387756328873,0.9125,0.07631321573981614,0.5268457123703579,0.10625303230299211,0.5028467284862104,0.11423563163729791,0.804105263157895,0.07569658049852043,0.7729122807017546,0.08280851198831934,0.0008771929824561403,0.003929684121593919,0.0008771929824561403,0.003929684121593919,0.003909108415174273,0.0008213239594564902,0.003427691122665126,0.0006655601198485986,33.08300198412698,16.792892835139707,30.360310846560836,15.536681801170944,0.9146666666666666,0.08048273892188194,0.8565,0.0897424475738862,0.038132000369775085,0.0010034333188799374,0.10812879582156616,0.5028467284862104,0.46180647705249517,0.543091764375014
infobip-gpt-4-1-mini,GPT-4.1-mini,2.0,30,600,0.04624052134410564,0.1717629175727379,0.039045649487236406,0.18237297811602765,0.029459545488689492,0.06005319827203622,0.015519681199832068,0.04594428745137513,2.5592560767581296,1.6900865929537723,2.5226465672995646,1.620143178035106,0.3370000000000001,0.12754039251993043,0.8839804788336849,0.07311805775727782,0.7935710269119711,0.08237564416641774,0.629982456140351,0.10755104245377609,0.45115789473684215,0.13351536273820458,0.005614035087719297,0.010877388129311246,0.06894736842105263,0.0732075586429997,0.0037020989793953396,0.0011674673113192886,0.0031292124013094554,0.0009892813337635475,35.696041509260816,43.7138822606271,29.47395547306253,17.410657681611895,0.3438333333333333,0.11532325881186546,0.3143333333333334,0.12325144843055551,0.039045649487236406,0.001206912795990857,0.1096384065216969,0.7935710269119711,0.7633121795824,0.8215105830343832
Qwen2.5-7B-FT,Qwen2.5-7B-FT,0.0,30,600,0.08710490642551529,0.27217714428697865,0.053771573092181946,0.21084460839695762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9273333333333331,0.10418595223770895,0.021854169222590276,0.04344920785244207,0.017905369484316855,0.04113410341194174,0.0415438596491228,0.06718426129512745,0.044912280701754376,0.0757518223341143,0.8764912280701754,0.16509726917172582,0.8877192982456139,0.16150342786876104,0.0012998266897746966,0.00018963956218908515,0.001270941652224148,0.00020912007764315165,20.686732804232797,11.234481197695603,20.113320105820105,11.517377745861642,0.8733333333333334,0.12038253205091055,0.8533333333333333,0.13649133693195065,0.053771573092181946,0.0,0.14087647951769722,0.017905369484316855,0.004838915470494418,0.03381180223285486
Qwen2.5-7B-FT,Qwen2.5-7B-FT,0.5,30,600,0.07822614089873718,0.236589920303927,0.0525937674720357,0.200089859256569,0.03432907203161231,0.09352294025489392,0.01664035444788732,0.051151345554273434,2.329772539596734,2.0740988035001444,2.2484573206448153,2.1314122300673457,0.9388333333333332,0.06658781256062697,0.5900008213298297,0.10403626142017582,0.578128090516717,0.10559682545146627,0.7942631578947369,0.08953871342409916,0.7850175438596492,0.10698212895711616,0.0,0.0,0.0,0.0,0.004477180820335065,0.0009639959263717883,0.004352012324282687,0.0009326976738290096,21.973037037037034,9.086696478986592,21.464921296296293,9.525894462698536,0.8680000000000001,0.09302947252683251,0.8534999999999998,0.1017192722389793,0.0525937674720357,0.0011382245303340115,0.13496627126705701,0.578128090516717,0.5392087234316545,0.6141500827410652
