model,model_display,prompt_idx,temperature,n_trials,raw_ndcg@10_mean,raw_ndcg@10_std,strict_ndcg@10_mean,strict_ndcg@10_std,candidate_valid_rate@10_mean,raw_jaccard_distance@10,strict_jaccard_distance@10,raw_list_position_distance@10,strict_list_position_distance@10,raw_exact_list_agreement@10,strict_exact_list_agreement@10,raw_item_coverage@10,raw_unique_items@10,raw_avg_popularity@10,raw_catalog_match_rate@10,strict_item_coverage@10,strict_unique_items@10,strict_avg_popularity@10,strict_catalog_match_rate@10,raw_ndcg@10_cv,strict_ndcg@10_cv
Gemma-2-9B,Gemma-2-9B,83,0.0,20,0.31546487678572877,0.0,0.3562071871080221,5.695323946259567e-17,0.8000000000000002,0.0,0.0,0.0,0.0,1.0,1.0,0.0011554015020219526,8.0,11.25,0.8000000000000002,0.0008665511265164644,6.0,8.5,0.5999999999999999,0.0,1.5988795713244335e-16
Gemma-2-9B,Gemma-2-9B,83,0.5,20,0.13846407639007524,0.17501739300202676,0.18238476811915522,0.2360460620355502,0.715,0.5613636170331217,0.6507811340706078,0.7715789473684211,0.6578947368421052,0.0,0.0,0.003755054881571346,26.0,43.389900793650796,0.8400000000000001,0.0033217793183131137,23.0,13.868869047619047,0.5849999999999999,1.2639913367058113,1.2942202601115083
Gemma-2-9B,Gemma-2-9B,83,1.0,20,0.13697239509539033,0.17344107610945772,0.1853618592752875,0.24437634565164426,0.71,0.6936705178749337,0.7887848847059373,0.8710526315789474,0.728421052631579,0.0,0.0,0.005921432697862507,41.0,47.378531746031754,0.85,0.005199306759098787,36.0,17.941964285714285,0.595,1.2662483998229705,1.3183744844116623
Gemma-2-9B,Gemma-2-9B,83,2.0,20,0.06934264036172708,0.23547120273350766,0.06934264036172708,0.23547120273350766,0.2,0.974542515154174,0.82207545378598,0.916842105263158,0.3263157894736843,0.0,0.14736842105263157,0.003610629693818602,25.0,37.301275510204086,0.25,0.0030329289428076256,21.0,13.294805194805194,0.17500000000000002,3.3957634365401734,3.3957634365401734
Gemma-2-9B,Gemma-2-9B,86,0.0,20,0.0,0.0,0.0,0.0,1.0,0.06124401913875596,0.06124401913875596,0.03368421052631579,0.03368421052631579,0.6631578947368421,0.6631578947368421,0.0012998266897746968,9.0,21.53333333333334,0.8200000000000001,0.0012998266897746968,9.0,21.53333333333334,0.8200000000000001,,
Gemma-2-9B,Gemma-2-9B,86,0.5,20,0.0,0.0,0.0,0.0,0.97,0.707755434619334,0.6998792728870536,0.8073684210526317,0.8031578947368422,0.0,0.0,0.004766031195840554,33.0,18.415218253968256,0.8400000000000001,0.004188330444829578,29.0,18.087718253968255,0.82,,
Gemma-2-9B,Gemma-2-9B,86,1.0,20,0.0,0.0,0.0,0.0,0.805,0.8595409295997938,0.8384723272626565,0.9326315789473687,0.8642105263157895,0.0,0.0,0.0085210860774119,59.0,22.30910714285714,0.76,0.005632582322357019,39.0,20.295238095238094,0.655,,
Gemma-2-9B,Gemma-2-9B,86,2.0,20,0.0,0.0,0.0,0.0,0.09000000000000001,0.9964808783091332,0.7570175438596491,0.868421052631579,0.1505263157894737,0.0,0.23684210526315788,0.002166377816291161,15.0,9.768518518518519,0.085,0.001877527440785673,13.0,9.981481481481481,0.07500000000000001,,
Gemma-2-9B,Gemma-2-9B,92,0.0,20,0.0,0.0,0.0,0.0,0.8400000000000001,0.11228070175438598,0.06736842105263156,0.16842105263157894,0.16842105263157894,0.6631578947368421,0.6631578947368421,0.0015886770652801848,11.0,38.09777777777778,0.9199999999999999,0.0014442518775274408,10.0,39.42,0.8400000000000001,,
Gemma-2-9B,Gemma-2-9B,92,0.5,20,0.0,0.0,0.0,0.0,0.9099999999999999,0.612898019593066,0.5840169479643164,0.8094736842105263,0.7689473684210526,0.0,0.0,0.004188330444829578,29.0,26.94611111111111,0.96,0.003755054881571346,26.0,24.62593253968254,0.9,,
Gemma-2-9B,Gemma-2-9B,92,1.0,20,0.0,0.0,0.0,0.0,0.905,0.8047109507912833,0.792542847521461,0.8910526315789475,0.8668421052631581,0.0,0.0,0.007221259387637204,50.0,28.361111111111114,0.9049999999999999,0.006499133448873483,45.0,27.252777777777784,0.865,,
Gemma-2-9B,Gemma-2-9B,92,2.0,20,0.0,0.0,0.0,0.0,0.23999999999999994,0.9877587432799672,0.9592414748993697,0.9473684210526315,0.33157894736842114,0.0,0.005263157894736842,0.004477180820335066,31.0,11.486134453781514,0.23499999999999996,0.004188330444829578,29.0,10.883193277310925,0.22499999999999995,,
Gemma-2-9B,Gemma-2-9B,126,0.0,20,0.0,0.0,0.0,0.0,0.6999999999999998,0.06124401913875596,0.08421052631578947,0.06736842105263158,0.06736842105263158,0.6631578947368421,0.6631578947368421,0.0015886770652801848,11.0,32.760000000000005,1.0,0.0011554015020219526,8.0,16.514285714285712,0.6999999999999998,,
Gemma-2-9B,Gemma-2-9B,126,0.5,20,0.0,0.0,0.0,0.0,0.6799999999999999,0.5424849188750526,0.6454922854922855,0.6373684210526316,0.6026315789473684,0.0,0.0,0.003755054881571346,26.0,31.672361111111105,0.9049999999999999,0.0033217793183131137,23.0,16.433690476190474,0.635,,
Gemma-2-9B,Gemma-2-9B,126,1.0,20,0.0,0.0,0.0,0.0,0.71,0.7845743921902877,0.8424776079613541,0.8947368421052632,0.7673684210526316,0.0,0.0,0.006643558636626227,46.0,37.07799603174603,0.9049999999999999,0.005777007510109763,40.0,25.15748015873016,0.675,,
Gemma-2-9B,Gemma-2-9B,126,2.0,20,0.0,0.0,0.0,0.0,0.14,0.9849403267237715,0.8927568922305765,0.926842105263158,0.21315789473684213,0.0,0.08947368421052632,0.0034662045060658577,24.0,27.985863095238095,0.17,0.002455228191796649,17.0,18.87777777777778,0.12500000000000003,,
Gemma-2-9B,Gemma-2-9B,181,0.0,20,0.0,0.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.0,0.0,1.0,1.0,0.0014442518775274408,10.0,32.10000000000001,1.0,0.0005777007510109763,4.0,1.5,0.4000000000000001,,
