Retriever,Reranker model,CandR@250,Oracle NDCG@10,NDCG@10
Semantic,Claude Opus 4.6,0.287721054387721,0.3164639538414764,0.1497431897168173
Semantic,Llama-3.3-70B,0.287721054387721,0.3164639538414764,0.07697621191290784
EASE,Claude Opus 4.6,0.48621955288621954,0.5222335635314476,0.22771106148216722
EASE,Llama-3.3-70B,0.48621955288621954,0.5222335635314476,0.12231386145123282
SASRec,Claude Opus 4.6,0.509325992659326,0.5423392856165845,0.21193706170015508
SASRec,Llama-3.3-70B,0.509325992659326,0.5423392856165845,0.11797749591667488
